"id","title","description","thumbnailUrl","channelTitle","channelId","publishedAt"
"y0aTs56DJWk","How NodeJS Works?","Hey Everyone, In this video, we will look at the working of nodejs. We'll see the event queue, the event loop, and how threads ...","https://i.ytimg.com/vi/y0aTs56DJWk/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2023-01-09T11:30:13Z"
"GAIbn16Iytc","Immediately Invoked Function Expressions IIFE | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/GAIbn16Iytc/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-05-13T17:00:08Z"
"VaH09NXQZ58","Lexical scoping and Closure | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/VaH09NXQZ58/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-07-25T18:52:28Z"
"Ab6K57WjWTE","All DOM selectors NodeList and HTMLCollection | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/Ab6K57WjWTE/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-06-03T14:18:11Z"
"NJwRQgsu1Q8","Promise in javascript | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. Sara code yaha milta h ...","https://i.ytimg.com/vi/NJwRQgsu1Q8/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-07-19T21:02:59Z"
"75dMiOY_4ac","Bind in javascript | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/75dMiOY_4ac/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-07-22T11:34:26Z"
"fozwNnFunlo","Strings in Javascript | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc.","https://i.ytimg.com/vi/fozwNnFunlo/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-02-23T19:00:07Z"
"X7hDBhd_L5U","Datatype conversion confusion | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc.","https://i.ytimg.com/vi/X7hDBhd_L5U/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2022-12-30T13:30:10Z"
"AViTh83k-IE","Object de-structure and JSON API intro | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/AViTh83k-IE/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-05-03T13:43:50Z"
"cTyIIjB62dQ","Express 5 is here | Reading docs","Welcome to chai aur code, a coding/programming dedicated channel in Hindi language. Now you can learn best of programming ...","https://i.ytimg.com/vi/cTyIIjB62dQ/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2024-10-18T13:30:19Z"
"eWwge2YpHhc","Scope level and mini hoisting in javascript | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/eWwge2YpHhc/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-05-06T16:37:18Z"
